Species,Sign,Reaction,Rate_Expression,,species_name,leading_sign,expression,,,,,,,,,,,,,,
AB40_Fibril23,+,AB40_fibril24_dissociation,k_F24_F23_forty*AB40_Fibril24*VIS_brain,,AB40_Fibril23,-,(AB40_Fibril23 * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract) * Microglia_CL_low_AB40)),,,,,,,,,,,,,,
AB40_Fibril23,-,AB40_Fibril23_to_PVS,(1 - sigma_ISF_ABeta40_oligomer23)*Q_PVS*AB40_Fibril23,,AB40_Fibril23,-,((1 - sigma_ISF_ABeta40_oligomer023) * Q_PVS * AB40_Fibril23 / vol_brain_ISF),,,,,,,,,,,,,,
AB40_Fibril23_Antibody_bound,+,AB40_antibody_fibril23_binding,fta2*AB40_Fibril23*Ab_t*VIS_brain,,AB40_Fibril23_Antibody_bound,-,(AB40_Fibril23_Antibody_bound * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_mab + (1 - Microglia_Hi_Fract) * Microglia_CL_low_mAb)),,,,,,,,,,,,,,
AB40_Fibril23_Antibody_bound,-,AB40_Fibril23_Antibody_bound_microglia_clearance,Microglia_Vmax_forty*AB40_Fibril23_Antibody_bound*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_mAb + (1 - Microglia_Hi_Fract)*Microglia_CL_low_mAb)*VIS_brain,,AB40_Fibril23_Antibody_bound,+,fta2 * Antibody_unbound_ISF * AB40_Fibril23,,,,,,,,,,,,,,
AB40_Fibril23_PVS,+,AB40_Fibril23_to_PVS,(1 - sigma_ISF_ABeta40_oligomer23)*Q_PVS*AB40_Fibril23,,AB40_Fibril23_PVS,-,(fta2 * C_Antibody_unbound_PVS * AB40_Fibril23_PVS),,,,,,,,,,,,,,
AB40_Fibril23_PVS,-,AB40_Fibril23_PVS_binding,fta2*AB40_Fibril23_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Fibril23_PVS,+,(1 - sigma_ISF_ABeta40_oligomer023) * Q_PVS * AB40_Fibril23 / V_PVS,,,,,,,,,,,,,,
AB40_Fibril23_PVS,-,AB40_Fibril23_PVS_clearance,(1 - sigma_PVS_AB40)*Q_PVS*AB40_Fibril23_PVS,,AB40_Fibril23_PVS,-,((1 - sigma_PVS_ABeta40) * Q_PVS * AB40_Fibril23_PVS / V_PVS),,,,,,,,,,,,,,
AB40_Fibril23_PVS_bound,+,AB40_Fibril23_PVS_binding,fta2*AB40_Fibril23_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Fibril23_PVS_bound,+,fta2 * C_Antibody_unbound_PVS * AB40_Fibril23_PVS,,,,,,,,,,,,,,
AB40_Fibril23_PVS_bound,-,AB40_Fibril23_PVS_bound_clearance,(1 - sigma_PVS_AB40_bound)*Q_PVS*AB40_Fibril23_PVS_bound,,AB40_Fibril23_PVS_bound,-,((1 - sigma_PVS_ABeta40_bound) * Q_PVS * AB40_Fibril23_PVS_bound / V_PVS),,,,,,,,,,,,,,
AB40_Fibril24,+,AB40_fibril24_formation,k_F23_F24_forty*AB40_Fibril23*AB40_Monomer*VIS_brain,,AB40_Fibril24,+,k_F23_F24_forty * AB40_Monomer * AB40_Fibril23,,,,,,,,,,,,,,
AB40_Fibril24,-,AB40_fibril24_dissociation,k_F24_F23_forty*AB40_Fibril24*VIS_brain,,AB40_Fibril24,-,(k_F24_F23_forty * AB40_Fibril24),,,,,,,,,,,,,,
AB40_Fibril24,-,AB40_fibril24_breakdown,k_F24_O12_forty*k_F24_F23_forty*AB40_Fibril24*VIS_brain,,AB40_Fibril24,-,(fta2 * Antibody_unbound_ISF * AB40_Fibril24),,,,,,,,,,,,,,
AB40_Fibril24,-,AB40_antibody_fibril24_binding,fta2*AB40_Fibril24*Ab_t*VIS_brain,,AB40_Fibril24,-,(AB40_Fibril24 * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract) * Microglia_CL_low_AB40)),,,,,,,,,,,,,,
AB40_Fibril24,-,AB40_microglia_fibril24_clearance,Microglia_Vmax_forty*AB40_Fibril24*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_AB40 + (1 - Microglia_Hi_Fract)*Microglia_CL_low_AB40)*VIS_brain,,AB40_Fibril24,-,(k_F24_O12_forty * k_F24_F23_forty * AB40_Fibril24),,,,,,,,,,,,,,
AB40_Fibril24,-,AB40_Fibril24_to_PVS,(1 - sigma_ISF_ABeta40_oligomer24)*Q_PVS*AB40_Fibril24,,AB40_Fibril24,-,((1 - sigma_ISF_ABeta40_oligomer024) * Q_PVS * AB40_Fibril24 / vol_brain_ISF),,,,,,,,,,,,,,
AB40_Fibril24_Antibody_bound,+,AB40_antibody_fibril24_binding,fta2*AB40_Fibril24*Ab_t*VIS_brain,,AB40_Fibril24_Antibody_bound,-,(AB40_Fibril24_Antibody_bound * Microglia_cell_count * (Microglia_Hi_Fract * Microglia_CL_high_mab + (1 - Microglia_Hi_Fract) * Microglia_CL_low_mAb)),,,,,,,,,,,,,,
AB40_Fibril24_Antibody_bound,-,AB40_Fibril24_Antibody_bound_microglia_clearance,Microglia_Vmax_forty*AB40_Fibril24_Antibody_bound*Microglia_cell_count*(Microglia_Hi_Fract*Microglia_CL_high_mAb + (1 - Microglia_Hi_Fract)*Microglia_CL_low_mAb)*VIS_brain,,AB40_Fibril24_Antibody_bound,+,fta2 * Antibody_unbound_ISF * AB40_Fibril24,,,,,,,,,,,,,,
AB40_Fibril24_PVS,+,AB40_Fibril24_to_PVS,(1 - sigma_ISF_ABeta40_oligomer24)*Q_PVS*AB40_Fibril24,,AB40_Fibril24_PVS,-,(fta2 * C_Antibody_unbound_PVS * AB40_Fibril24_PVS),,,,,,,,,,,,,,
AB40_Fibril24_PVS,-,AB40_Fibril24_PVS_binding,fta2*AB40_Fibril24_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Fibril24_PVS,+,(1 - sigma_ISF_ABeta40_oligomer024) * Q_PVS * AB40_Fibril24 / V_PVS,,,,,,,,,,,,,,
AB40_Fibril24_PVS,-,AB40_Fibril24_PVS_clearance,(1 - sigma_PVS_AB40)*Q_PVS*AB40_Fibril24_PVS,,AB40_Fibril24_PVS,-,((1 - sigma_PVS_ABeta40) * Q_PVS * AB40_Fibril24_PVS / V_PVS),,,,,,,,,,,,,,
AB40_Fibril24_PVS_bound,+,AB40_Fibril24_PVS_binding,fta2*AB40_Fibril24_PVS*C_Antibody_unbound_PVS*V_PVS,,AB40_Fibril24_PVS_bound,+,fta2 * C_Antibody_unbound_PVS * AB40_Fibril24_PVS,,,,,,,,,,,,,,
AB40_Fibril24_PVS_bound,-,AB40_Fibril24_PVS_bound_clearance,(1 - sigma_PVS_AB40_bound)*Q_PVS*AB40_Fibril24_PVS_bound,,AB40_Fibril24_PVS_bound,-,((1 - sigma_PVS_ABeta40_bound) * Q_PVS * AB40_Fibril24_PVS_bound / V_PVS),,,,,,,,,,,,,,
AB40_Monomer,+,C99_to_AB40,k_in_AB40*C99*VIS_brain,,AB40_Monomer,-,(k_F17_F18_forty * AB40_Monomer * AB40_Fibril17),,,,,,,,,,,,,,
AB40_Monomer,-,IDE_AB40_clearance,IDE_conc*CL_AB40_IDE*((AB40_Monomer*Unit_removal_1)^AB40_IDE_Hill/((AB40_Monomer*Unit_removal_1)^AB40_IDE_Hill + AB40_IDE_IC50^AB40_IDE_Hill))*VIS_brain,,AB40_Monomer,+,k_F17_O16_forty * AB40_Fibril17,,,,,,,,,,,,,,
AB40_Monomer,-,AB40_dimer_formation,k_M_O2_forty*AB40_Monomer*AB40_Monomer*VIS_brain,,AB40_Monomer,+,k_F18_F17_forty * AB40_Fibril18,,,,,,,,,,,,,,
AB40_Monomer,+,AB40_dimer_dissociation,k_O2_M_forty*AB40_Oligomer02*VIS_brain,,AB40_Monomer,-,(k_F18_F19_forty * AB40_Monomer * AB40_Fibril18),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer02_plaque_catalyzed_formation,k_M_O2_forty*AB40_Plaque_Vmax*AB40_Monomer*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_EC50))*VIS_brain,,AB40_Monomer,+,k_F19_F18_forty * AB40_Fibril19,,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer03_formation,k_O2_O3_forty*AB40_Oligomer02*AB40_Monomer*VIS_brain,,AB40_Monomer,-,(k_F19_F20_forty * AB40_Monomer * AB40_Fibril19),,,,,,,,,,,,,,
AB40_Monomer,+,AB40_Oligomer03_dissociation,k_O3_O2_forty*AB40_Oligomer03*VIS_brain,,AB40_Monomer,+,k_F20_F19_forty * AB40_Fibril20,,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer03_plaque_catalyzed_formation,k_O2_O3_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer02*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Monomer,-,(k_F20_F21_forty * AB40_Monomer * AB40_Fibril20),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer04_formation,k_O3_O4_forty*AB40_Oligomer03*AB40_Monomer*VIS_brain,,AB40_Monomer,+,k_F21_F20_forty * AB40_Fibril21,,,,,,,,,,,,,,
AB40_Monomer,+,AB40_Oligomer04_dissociation,k_O4_O3_forty*AB40_Oligomer04*VIS_brain,,AB40_Monomer,-,(k_F21_F22_forty * AB40_Monomer * AB40_Fibril21),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer04_plaque_catalyzed_formation,k_O3_O4_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer03*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Monomer,+,k_F22_F21_forty * AB40_Fibril22,,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer05_formation,k_O4_O5_forty*AB40_Oligomer04*AB40_Monomer*VIS_brain,,AB40_Monomer,-,(k_F22_F23_forty * AB40_Monomer * AB40_Fibril22),,,,,,,,,,,,,,
AB40_Monomer,+,AB40_Oligomer05_dissociation,k_O5_O4_forty*AB40_Oligomer05*VIS_brain,,AB40_Monomer,+,k_F23_F22_forty * AB40_Fibril23,,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer05_plaque_catalyzed_formation,k_O4_O5_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer04*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Monomer,-,(k_F23_F24_forty * AB40_Monomer * AB40_Fibril23),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer06_formation,k_O5_O6_forty*AB40_Oligomer05*AB40_Monomer*VIS_brain,,AB40_Monomer,+,k_F24_F23_forty * AB40_Fibril24,,,,,,,,,,,,,,
AB40_Monomer,+,AB40_Oligomer06_dissociation,k_O6_O5_forty*AB40_Oligomer06*VIS_brain,,AB40_Monomer,-,(K_F17_Plaque_forty * AB40_Fibril17 * AB40_Monomer),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer06_plaque_catalyzed_formation,k_O5_O6_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer05*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Monomer,-,(K_F18_Plaque_forty * AB40_Fibril18 * AB40_Monomer),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer07_formation,k_O6_O7_forty*AB40_Oligomer06*AB40_Monomer*VIS_brain,,AB40_Monomer,-,(fta0 * Antibody_unbound_ISF * AB40_Monomer),,,,,,,,,,,,,,
AB40_Monomer,+,AB40_Oligomer07_dissociation,k_O7_O6_forty*AB40_Oligomer07*VIS_brain,,AB40_Monomer,-,(2 * (k_M_O2_forty * AB40_Monomer * AB40_Monomer)),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer07_plaque_catalyzed_formation,k_O6_O7_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer06*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Monomer,-,(2 * (k_M_O2_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Monomer * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50)))),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer08_formation,k_O7_O8_forty*AB40_Oligomer07*AB40_Monomer*VIS_brain,,AB40_Monomer,-,(k_O2_O3_forty * AB40_Monomer * AB40_Oligomer02),,,,,,,,,,,,,,
AB40_Monomer,+,AB40_Oligomer08_dissociation,k_O8_O7_forty*AB40_Oligomer08*VIS_brain,,AB40_Monomer,+,2 * (k_O2_M_forty * AB40_Oligomer02),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer08_plaque_catalyzed_formation,k_O7_O8_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer07*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Monomer,+,k_O3_O2_forty * AB40_Oligomer03,,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer09_formation,k_O8_O9_forty*AB40_Oligomer08*AB40_Monomer*VIS_brain,,AB40_Monomer,-,(k_O3_O4_forty * AB40_Monomer * AB40_Oligomer03),,,,,,,,,,,,,,
AB40_Monomer,+,AB40_Oligomer09_dissociation,k_O9_O8_forty*AB40_Oligomer09*VIS_brain,,AB40_Monomer,+,k_O4_O3_forty * AB40_Oligomer04,,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer09_plaque_catalyzed_formation,k_O8_O9_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer08*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Monomer,-,(k_O4_O5_forty * AB40_Monomer * AB40_Oligomer04),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer10_formation,k_O9_O10_forty*AB40_Oligomer09*AB40_Monomer*VIS_brain,,AB40_Monomer,+,k_O5_O4_forty * AB40_Oligomer05,,,,,,,,,,,,,,
AB40_Monomer,+,AB40_Oligomer10_dissociation,k_O10_O9_forty*AB40_Oligomer10*VIS_brain,,AB40_Monomer,-,(k_O5_O6_forty * AB40_Monomer * AB40_Oligomer05),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer10_plaque_catalyzed_formation,k_O9_O10_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer09*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Monomer,+,k_O6_O5_forty * AB40_Oligomer06,,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer11_formation,k_O10_O11_forty*AB40_Oligomer10*AB40_Monomer*VIS_brain,,AB40_Monomer,-,(k_O6_O7_forty * AB40_Monomer * AB40_Oligomer06),,,,,,,,,,,,,,
AB40_Monomer,+,AB40_Oligomer11_dissociation,k_O11_O10_forty*AB40_Oligomer11*VIS_brain,,AB40_Monomer,+,k_O7_O6_forty * AB40_Oligomer07,,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer11_plaque_catalyzed_formation,k_O10_O11_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer10*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Monomer,-,(k_O7_O8_forty * AB40_Monomer * AB40_Oligomer07),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer12_formation,k_O11_O12_forty*AB40_Oligomer11*AB40_Monomer*VIS_brain,,AB40_Monomer,+,k_O8_O7_forty * AB40_Oligomer08,,,,,,,,,,,,,,
AB40_Monomer,+,AB40_Oligomer12_dissociation,k_O12_O11_forty*AB40_Oligomer12*VIS_brain,,AB40_Monomer,-,(k_O8_O9_forty * AB40_Monomer * AB40_Oligomer08),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer12_plaque_catalyzed_formation,k_O11_O12_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer11*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Monomer,+,k_O9_O8_forty * AB40_Oligomer09,,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer13_formation,k_O12_O13_forty*AB40_Oligomer12*AB40_Monomer*VIS_brain,,AB40_Monomer,-,(k_O9_O10_forty * AB40_Monomer * AB40_Oligomer09),,,,,,,,,,,,,,
AB40_Monomer,+,AB40_Oligomer13_dissociation,k_O13_O12_forty*AB40_Oligomer13*VIS_brain,,AB40_Monomer,+,k_O10_O9_forty * AB40_Oligomer10,,,,,,,,,,,,,,
AB40_Monomer,-,AB40_plaque_oligomer13_formation,k_O12_O13_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer12*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Monomer,-,(k_O10_O11_forty * AB40_Monomer * AB40_Oligomer10),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer13_to_plaque,k_O13_Plaque_forty*AB40_Oligomer13*AB40_Monomer*VIS_brain,,AB40_Monomer,+,k_O11_O10_forty * AB40_Oligomer11,,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer14_formation,k_O13_O14_forty*AB40_Oligomer13*AB40_Monomer*VIS_brain,,AB40_Monomer,-,(k_O11_O12_forty * AB40_Monomer * AB40_Oligomer11),,,,,,,,,,,,,,
AB40_Monomer,+,AB40_Oligomer14_dissociation,k_O14_O13_forty*AB40_Oligomer14*VIS_brain,,AB40_Monomer,+,k_O12_O11_forty * AB40_Oligomer12,,,,,,,,,,,,,,
AB40_Monomer,-,AB40_plaque_oligomer14_formation,k_O13_O14_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer13*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Monomer,-,(k_O12_O13_forty * AB40_Monomer * AB40_Oligomer12),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer14_to_plaque,k_O14_Plaque_forty*AB40_Oligomer14*AB40_Monomer*VIS_brain,,AB40_Monomer,+,k_O13_O12_forty * AB40_Oligomer13,,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer15_formation,k_O14_O15_forty*AB40_Oligomer14*AB40_Monomer*VIS_brain,,AB40_Monomer,-,(k_O13_O14_forty * AB40_Monomer * AB40_Oligomer13),,,,,,,,,,,,,,
AB40_Monomer,+,AB40_Oligomer15_dissociation,k_O15_O14_forty*AB40_Oligomer15*VIS_brain,,AB40_Monomer,+,k_O14_O13_forty * AB40_Oligomer14,,,,,,,,,,,,,,
AB40_Monomer,-,AB40_plaque_oligomer15_formation,k_O14_O15_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer14*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Monomer,-,(k_O14_O15_forty * AB40_Monomer * AB40_Oligomer14),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer15_to_plaque,k_O15_Plaque_forty*AB40_Oligomer15*AB40_Monomer*VIS_brain,,AB40_Monomer,+,k_O15_O14_forty * AB40_Oligomer15,,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer16_formation,k_O15_O16_forty*AB40_Oligomer15*AB40_Monomer*VIS_brain,,AB40_Monomer,-,(k_O15_O16_forty * AB40_Monomer * AB40_Oligomer15),,,,,,,,,,,,,,
AB40_Monomer,+,AB40_Oligomer16_dissociation,k_O16_O15_forty*AB40_Oligomer16*VIS_brain,,AB40_Monomer,+,k_O16_O15_forty * AB40_Oligomer16,,,,,,,,,,,,,,
AB40_Monomer,-,AB40_plaque_oligomer16_formation,k_O15_O16_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Oligomer15*AB40_Monomer*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Monomer,-,(k_O16_F17_forty * AB40_Monomer * AB40_Oligomer16),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Oligomer16_to_plaque,k_O16_Plaque_forty*AB40_Oligomer16*AB40_Monomer*VIS_brain,,AB40_Monomer,-,(k_O2_O3_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer02 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Fibril17_formation_from_oligomer,k_O16_F17_forty*AB40_Oligomer16*AB40_Monomer*VIS_brain,,AB40_Monomer,-,(k_O3_O4_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer03 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))),,,,,,,,,,,,,,
AB40_Monomer,+,AB40_Fibril17_dissociation_to_oligomer,k_F17_O16_forty*AB40_Fibril17*VIS_brain,,AB40_Monomer,-,(k_O4_O5_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer04 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Plaque_formation_from_Fibril17,k_F17_Plaque_forty*AB40_Fibril17*AB40_Monomer*VIS_brain,,AB40_Monomer,-,(k_O5_O6_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer05 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Fibril17_plaque_driven_formation,k_O16_F17_forty*AB40_Plaque_Driven_Monomer_Addition_Vmax*AB40_Monomer*AB40_Oligomer16*(AB40_Plaque_unbound/(AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))*VIS_brain,,AB40_Monomer,-,(k_O6_O7_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer06 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Fibril18_formation,k_F17_F18_forty*AB40_Fibril17*AB40_Monomer*VIS_brain,,AB40_Monomer,-,(k_O7_O8_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer07 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))),,,,,,,,,,,,,,
AB40_Monomer,+,AB40_Fibril17_formation_from_fibril18,k_F18_F17_forty*AB40_Fibril18*VIS_brain,,AB40_Monomer,-,(k_O8_O9_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer08 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_Plaque_formation_from_Fibril18,k_F18_Plaque_forty*AB40_Fibril18*AB40_Monomer*VIS_brain,,AB40_Monomer,-,(k_O9_O10_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer09 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_fibril19_formation,k_F18_F19_forty*AB40_Fibril18*AB40_Monomer*VIS_brain,,AB40_Monomer,-,(k_O10_O11_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer10 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))),,,,,,,,,,,,,,
AB40_Monomer,+,AB40_fibril19_dissociation,k_F19_F18_forty*AB40_Fibril19*VIS_brain,,AB40_Monomer,-,(k_O11_O12_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer11 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_fibril20_formation,k_F19_F20_forty*AB40_Fibril19*AB40_Monomer*VIS_brain,,AB40_Monomer,-,(k_O12_O13_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer12 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))),,,,,,,,,,,,,,
AB40_Monomer,+,AB40_fibril20_dissociation,k_F20_F19_forty*AB40_Fibril20*VIS_brain,,AB40_Monomer,-,(k_O13_O14_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer13 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_fibril21_formation,k_F20_F21_forty*AB40_Fibril20*AB40_Monomer*VIS_brain,,AB40_Monomer,-,(K_O13_Plaque_forty * AB40_Oligomer13 * AB40_Monomer),,,,,,,,,,,,,,
AB40_Monomer,+,AB40_fibril21_dissociation,k_F21_F20_forty*AB40_Fibril21*VIS_brain,,AB40_Monomer,-,(k_O14_O15_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer14 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_fibril22_formation,k_F21_F22_forty*AB40_Fibril21*AB40_Monomer*VIS_brain,,AB40_Monomer,-,(K_O14_Plaque_forty * AB40_Oligomer14 * AB40_Monomer),,,,,,,,,,,,,,
AB40_Monomer,+,AB40_fibril22_dissociation,k_F22_F21_forty*AB40_Fibril22*VIS_brain,,AB40_Monomer,-,(k_O15_O16_forty * AB40_Plaque_Driven_Monomer_Addition_Vmax * AB40_Monomer * AB40_Oligomer15 * (AB40_Plaque_unbound / (AB40_Plaque_unbound + AB40_Plaque_Driven_Monomer_Addition_EC50))),,,,,,,,,,,,,,
AB40_Monomer,-,AB40_fibril23_formation,k_F22_F23_forty*AB40_Fibril22*AB40_Monomer*VIS_brain,,AB40_Monomer,-,(K_O15_Plaque_forty * AB40_Oligomer15 * AB40_Monomer),,,,,,,,,,,,,,
